PAIS_ORIGEM;TITULO_ORIGINAL;ROE
ALEMANHA;DANIEL BARENBOIM / BERLIN PHILHARMONICS: MOZART PIANO CONCERTO NO. 21;E1600183400000
ALEMANHA;DANIEL BARENBOIM / BERLIN PHILHARMONICS: MOZART PIANO CONCERTO NO. 22;E1600183200000
ALEMANHA;DANIEL BARENBOIM / BERLIN PHILHARMONICS: MOZART PIANO CONCERTO NO. 23;E1600186200000
ALEMANHA;DANIEL BARENBOIM / BERLIN PHILHARMONICS: MOZART PIANO CONCERTO NO.20;E1600183300000
ALEMANHA;DANZA CONTEMPORANEA DE CUBA: THE SACRAL DANCE;E2000353100000
ALEMANHA;DARFUR;E1300000100000
ALEMANHA;DARK TIDE;E2000007900000
ALEMANHA;DAS BOOT;E1300000100000
ALEMANHA;DAS BOOT;E2000232000000
ALEMANHA;DAS CABINET DES DR. CALIGARI;E2000346800000
ALEMANHA;DAS DOPPELTE LOTTCHEN;E1800229500000
ALEMANHA;DAS FREMDE IN MIR;E1402777000000
ALEMANHA;DAS LICHT;E2500145400000
ALEMANHA;DAS RAD;E1300000100000
ALEMANHA;DAS TAGEBUCH DER ANNE FRANK;E1900137600000
ALEMANHA;DAS VORSPIEL;E2200054900000
ALEMANHA;DAS WEISSE BAND;E1300000100000
ALEMANHA;DAVID LAMA - BACK TO HIS ROOTS;E1800194900000
ALEMANHA;DAY ZERO;E2000208000000
ALEMANHA;DEAD OF WINTER;E2500368600000
ALEMANHA;DEATH AT A FUNERAL;E1300000100000
ALEMANHA;DEATH OF A SUPERHERO;E1300000100000
ALEMANHA;DECAMERON, IL;E1800180600000
ALEMANHA;DEEP PURPLE LIVE AT WACKEN 2011;E1500181800000
ALEMANHA;DELIBES: COPPELIA;E1500783700000
ALEMANHA;DELPHI EFFECT, THE AKA KISS ME DEA;E1300000100000
ALEMANHA;DEPARTURE;E2300339700000
ALEMANHA;DER 7BTE ZWERG;E1500147100000
ALEMANHA;DER AMERIKANISCHE FREUND (AKA THE AMERICAN FRIEND);E1300000100000
ALEMANHA;DER BAADER MEINHOF KOMPLEX;E1300000100000
ALEMANHA;DER GOLEM, WIE ER IN DIE WELT KAM;E2000346900000
ALEMANHA;DER HIMMEL ÜBER BERLIN (AKA WINGS OF DESIRE);E1300000100000
ALEMANHA;DER JUNGE MUSS AN DIE FRISCHE LUFT;E1900377500000
ALEMANHA;DER KLEINE EISBAR;E1300000100000
ALEMANHA;DER LETZTE MANN;E2000347100000
ALEMANHA;DER MISTKERL(BLOOD NUISANCE);E1300000100000
ALEMANHA;DER MÜDE TOD;E2000347200000
ALEMANHA;DER NAME DER ROSE;E1500096900000
ALEMANHA;DER ROTE BARON;E1300000100000
ALEMANHA;DER RÄUBER HOTZENPLOTZ;E1300000100000
ALEMANHA;DER TRAFIKANT;E1900346400000
ALEMANHA;DER TRAUMHAFTE WEG;E1800176200000
ALEMANHA;DER UNTERGANG (DOWNFALL);E1300000100000
ALEMANHA;DEUTSCHLAND '86;E1800351900000
ALEMANHA;DEUTSCHLAND BLEICHE  MUTTER;E1402498200000
ALEMANHA;DIANNE REEVES PLAYS AVO SESSION;E1300000100000
ALEMANHA;DIE ABHANDENE WELT;E1700091500000
ALEMANHA;DIE BLINDGÄNGER;E1300000100000
ALEMANHA;DIE DRITTE GENERATION;E1300000100000
ALEMANHA;DIE EHE DER MARIA BRAUN;E1402493500000
ALEMANHA;DIE FETTEN JAHRE SIND VORBEI;E2400411900000
