REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ;REGISTRO_ANCINE_ASSOCIADO;AGENTE_ECONOMICO_ASSOCIADO;CNPJ_ASSOCIADO;RELACAO;DATA_ASSOCIACAO
50551;ANAVITORIA ARTES LTDA;25.070.070/0001-47;50495;FSS ARTES EIRELI;37.149.527/0001-92;COLIGAÇÃO;10/02/2022
50551;ANAVITORIA ARTES LTDA;25.070.070/0001-47;49526;MGFS PRODUCOES ARTISTICAS LTDA;33.440.581/0001-31;COLIGAÇÃO;14/09/2021
50562;BOBO FILMES LTDA;43.168.200/0001-60;33915;DVP DESIGNER VIDEO PRODUÇÕES LTDA - ME;14.517.537/0001-38;COLIGAÇÃO;01/06/2022
50572;PRO SINTAX EVENTOS LTDA;10.583.505/0001-80;50544;ZÉ PEQUENO PRODUÇÕES ARTÍSTICAS LTDA;44.406.374/0001-87;COLIGAÇÃO;17/02/2022
50576;PRODUTORA PRODUTORA DE FILMES E ARTE LTDA;45.096.553/0001-28;45246;ARTHUR DARTAGNAN CHAVES DOS SANTOS ***********;35.323.881/0001-66;COLIGAÇÃO;29/04/2025
50583;QUITANDA FILMES LTDA;38.010.243/0001-83;27642;ARPOADOR AUDIOVISUAL LTDA;15.367.770/0001-44;COLIGAÇÃO;15/05/2025
50588;PROPANO FILMES LTDA;40.051.806/0001-23;36039;M. M. CHERMONT PRODUCOES ­ ME;24.940.319/0001-65;COLIGAÇÃO;20/06/2022
50589;PEDRO DAVID GONCALVES ***********;44.278.111/0001-30;58620;ORIRIS ARTIS PRODUCOES ARTISTICAS LTDA;53.554.174/0001-62;COLIGAÇÃO;03/07/2024
50613;MULTIMÍDIA & BUSINESS EIRELI;19.865.085/0001-07;41936;LAERCIO FERNANDES DE MORAIS;32.318.573/0001-54;COLIGAÇÃO;19/09/2024
50641;VENTO LESTE PRODUCOES LTDA;21.059.988/0001-34;62175;LITORAL FILMES LTDA;53.994.887/0001-47;COLIGAÇÃO;27/05/2025
50663;MUDE SE MUDE ARQUITETURA CENOGRÁFICA LTDA;38.263.023/0001-61;62156;HORIZONTE CINEMATOGRÁFICO;54.572.740/0001-21;COLIGAÇÃO;26/05/2025
50668;LUA CHEIA FILMES E PRODUCOES ARTISTICAS LTDA;25.301.432/0001-63;13520;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09.107.296/0001-19;COLIGAÇÃO;27/03/2023
50672;BADOGUE SERVICOS DE COMUNICACAO LTDA;40.820.712/0001-71;61175;URSA FILMES COMUNICACAO LTDA;58.321.409/0001-90;COLIGAÇÃO;06/03/2025
50672;BADOGUE SERVICOS DE COMUNICACAO LTDA;40.820.712/0001-71;15146;PINHEIRO E PAIVA SERVIÇOS DE COMUNICAÇÃO LTDA;10.510.690/0001-82;COLIGAÇÃO;20/06/2022
50672;BADOGUE SERVICOS DE COMUNICACAO LTDA;40.820.712/0001-71;40547;PAIVA & SOUSA SERVICOS DE COMUNICACAO LTDA;30.759.883/0001-89;COLIGAÇÃO;13/05/2024
50672;BADOGUE SERVICOS DE COMUNICACAO LTDA;40.820.712/0001-71;60596;AR FILMES COMUNICACAO LTDA;58.564.648/0001-70;COLIGAÇÃO;02/01/2025
50675;CARUS E MASSIRONI LTDA;08.640.077/0001-38;56646;DIGRAFO PRODUÇÕES LTDA;51.642.558/0001-01;COLIGAÇÃO;30/11/2023
50677;D B DE SOUSA;45.275.149/0001-11;48131;DIVONALDO BARBOSA DE SOUSA;33.571.333/0001-20;COLIGAÇÃO;09/04/2021
50678;RODYFACE PRODUÇÕES E EVENTOS LTDA;11.873.794/0001-14;41;DIGITAL 21 PRODUÇÕES ARTÍSTICAS LTDA;04.887.159/0001-20;COLIGAÇÃO;09/08/2021
50678;RODYFACE PRODUÇÕES E EVENTOS LTDA;11.873.794/0001-14;45736;DRIKA CONSULTORIA EM MARKETING, CONTEUDO E EVENTOS EIRELI;35.827.762/0001-40;COLIGAÇÃO;22/09/2025
50681;CINELERO PRODUCOES AUDIOVISUAIS LTDA;42.536.062/0001-62;20926;PIETÀ FILMES E PRODUÇÕES LTDA EPP;14.341.183/0001-13;COLIGAÇÃO;23/12/2021
50682;KROMAKI FILMES LTDA;43.511.177/0001-65;17750;NOVA TRINITI COMUNICAÇÃO E PRODUÇÃO ARTÍSTICA LTDA ME;10.519.798/0001-36;COLIGAÇÃO;12/07/2023
50685;ESPINHA DE BACALHAU CONTEÚDO AUDIOVISUAL LTDA;45.202.167/0001-73;13017;EMVIDEO EVENTOS AUDIOVISUAIS LTDA;07.071.805/0001-75;COLIGAÇÃO;18/04/2024
50685;ESPINHA DE BACALHAU CONTEÚDO AUDIOVISUAL LTDA;45.202.167/0001-73;152;EMVIDEO EMPRESA DE VIDEOCOMUNICAÇÃO LTDA.;20.462.917/0001-15;COLIGAÇÃO;22/03/2022
50688;BAMBAMBAM PRODUCOES ARTISTICAS LTDA;12.928.417/0001-06;29453;CINESOFIA PRODUÇÕES ARTISTICAS E CULTURAIS LTDA;09.379.005/0001-41;COLIGAÇÃO;22/04/2021
50697;BLACK JACK FILMS PRODUÇÕES LTDA;36.025.085/0001-00;31621;MAKE IMAGE LTDA;18.778.716/0001-80;COLIGAÇÃO;08/01/2021
50702;TAMBORIM PRODUÇÕES LTDA;44.127.203/0001-19;48164;MAESTRO SERVIÇOS DE COMUNICAÇÃO;35.444.854/0001-41;COLIGAÇÃO;13/04/2021
50705;MARIA MARIA MULTIMÍDIA LTDA;42.856.251/0001-12;12698;C3 COMUNICAÇÃO E MARKETING LTDA;01.936.260/0001-36;COLIGAÇÃO;13/09/2012
50725;FWK ESTUDIO DE ANIMACAO LTDA;45.315.170/0001-01;35392;KASSIA ROBERTA FIOR ***********;26.258.946/0001-46;COLIGAÇÃO;20/06/2022
50733;MARINHO & SANTOS LIMITADA;14.161.904/0001-03;41215;FUNDAÇÃO EDUCATIVA E CULTURAL EDILSON BRANDÃO GUIMARÃES;04.175.579/0001-84;COLIGAÇÃO;07/02/2023
50736;YOUR JOURNEY INOVAÇÃO EM CONTEÚDO LTDA;11.304.903/0001-82;49980;WIP – PROPRIEDADE INTELECTUAL DE ENTRETENIMENTO LTDA;34.174.992/0001-95;COLIGAÇÃO;16/11/2021
50747;AMULETO FILMES LTDA;42.762.706/0001-30;38794;DIEGO ALEXANDRE DA SILVA ***********;27.566.670/0001-26;COLIGAÇÃO;22/09/2025
50751;CUMARU FILMES LTDA;45.298.088/0001-08;62726;MURMURIO FILMES LTDA;61.834.597/0001-64;COLIGAÇÃO;01/08/2025
50751;CUMARU FILMES LTDA;45.298.088/0001-08;40449;PONTA DE ANZOL PRODUÇÕES LTDA.;30.720.613/0001-64;COLIGAÇÃO;30/06/2022
50751;CUMARU FILMES LTDA;45.298.088/0001-08;63823;PRATA POEIRA FILMES PRODUCOES LTDA;62.452.726/0001-12;COLIGAÇÃO;28/11/2025
50754;ENCANTADA PRODUÇÕES LTDA.;43.380.531/0001-60;26212;ALEF FILMS PRODUCOES LTDA;18.329.398/0001-70;COLIGAÇÃO;24/01/2025
50754;ENCANTADA PRODUÇÕES LTDA.;43.380.531/0001-60;51713;EYE SLICE PICTURES BRASIL LTDA;46.850.630/0001-56;COLIGAÇÃO;28/07/2022
50786;LUCAS DE JESUS FERREIRA ***********;23.988.429/0001-34;56753;CINEMAS POSSÍVEIS LTDA;52.957.508/0001-86;COLIGAÇÃO;06/12/2023
50790;COOPERATIVA AUDIOVISUAL DO VELHO OESTE;42.894.947/0001-33;31640;OESTE CINEMA LTDA;23.180.804/0001-15;COLIGAÇÃO;09/09/2024
50796;SISTEMA FACTUAL DE COMUNICAÇÃO LTDA;18.030.547/0001-03;3931;CLAUDIO CESAR CORDEIRO ME;36.916.930/0001-37;COLIGAÇÃO;11/01/2013
50796;SISTEMA FACTUAL DE COMUNICAÇÃO LTDA;18.030.547/0001-03;31030;GONÇALVES CORDEIRO PROPAGANDA E MARKETING LTDA;10.014.687/0001-78;COLIGAÇÃO;06/11/2020
50796;SISTEMA FACTUAL DE COMUNICAÇÃO LTDA;18.030.547/0001-03;32045;AGENCIA DE PUBLICIDADE E PROPAGANDA GC LTDA EPP;23.718.215/0001-48;COLIGAÇÃO;08/03/2021
50804;PANGEAS PRODUÇÃO DE CONTEÚDO LTDA;20.070.962/0001-24;23470;VOLTAIRE BARBIERI VARGAS-ME;08.018.912/0001-00;COLIGAÇÃO;04/05/2018
50804;PANGEAS PRODUÇÃO DE CONTEÚDO LTDA;20.070.962/0001-24;32136;EFRAME PRODUÇÃO CINEMATOGRÁFICA LTDA-ME;23.284.825/0001-80;COLIGAÇÃO;28/04/2021
50807;NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.;45.717.879/0001-25;22333;NBCUNIVERSAL INTERNATIONAL MEDIA BRASIL LTDA;15.777.467/0001-10;COLIGAÇÃO;01/08/2025
50807;NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.;45.717.879/0001-25;22341;A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.;15.777.407/0001-05;COLIGAÇÃO;30/09/2024
50807;NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.;45.717.879/0001-25;22461;AMC NETWORKS SERVIÇOS DE TELEVISÃO DO BRASIL LTDA;15.777.180/0001-90;COLIGAÇÃO;31/10/2024
50815;CIA DAS NOVIDADES EXCÊNTRICAS LTDA;45.086.756/0001-33;61807;CENTRO CULTURAL CINE CENTIMETRO;52.889.178/0001-39;COLIGAÇÃO;30/04/2025
50815;CIA DAS NOVIDADES EXCÊNTRICAS LTDA;45.086.756/0001-33;19176;DILUVIO FILMES PRODUCOES ARTISTICAS LTDA;13.571.915/0001-07;COLIGAÇÃO;22/05/2025
50821;ANIMAL MEDIA LTDA.;45.554.205/0001-57;42839;RAIZ FILMS PRODUCOES CINEMATOGRAFICAS LTDA;25.183.464/0001-01;COLIGAÇÃO;19/09/2024
50825;UNI DUNI PRODUÇÕES LTDA;44.564.794/0001-91;51642;JUKEBOX PRODUCOES ARTISTICAS LTDA;29.707.580/0001-33;COLIGAÇÃO;18/07/2022
50826;GATO MIA STUDIO LTDA;45.219.123/0001-56;27496;R2 PRODUTORA LTDA;20.590.445/0001-86;COLIGAÇÃO;30/10/2024
50844;MAR DE FOGUEIRINHA CULTURA LTDA;34.964.177/0001-20;38902;FORA DE SÉRIE COMUNICAÇÃO E MARKETING LTDA ME;03.100.925/0001-00;COLIGAÇÃO;12/06/2024
50848;MUSA PRODUÇÕES LTDA;44.298.280/0001-31;57768;MEGUSTA PRODUCOES LTDA.;24.005.208/0001-61;COLIGAÇÃO;21/03/2024
50852;VARIOSCORRES LTDA;43.908.288/0001-00;54487;6TEAM LTDA;51.268.921/0001-70;COLIGAÇÃO;22/08/2023
50858;TM PRODUCOES ARTISTICAS E AUDIOVISUAIS LTDA;34.594.405/0001-17;53384;URANIO FILMES PRODUCOES ARTISTICAS LTDA;42.379.009/0001-03;COLIGAÇÃO;15/05/2023
50870;DIVINARTE PRODUCOES CULTURAIS E ARTISTICAS LTDA;45.291.559/0001-56;38378;ESPIRITUALIDARTE PRODUÇÕES CULTURAIS E ARTÍSTICAS LTDA - ME;29.200.528/0001-96;COLIGAÇÃO;20/12/2023
50870;DIVINARTE PRODUCOES CULTURAIS E ARTISTICAS LTDA;45.291.559/0001-56;42839;RAIZ FILMS PRODUCOES CINEMATOGRAFICAS LTDA;25.183.464/0001-01;COLIGAÇÃO;19/09/2024
50870;DIVINARTE PRODUCOES CULTURAIS E ARTISTICAS LTDA;45.291.559/0001-56;52346;INSPIRARTE PRODUÇÕES CULTURAIS E ARTÍSTICAS LTDA;47.504.919/0001-86;COLIGAÇÃO;11/11/2022
50871;GUERRA-PEIXE S PRODUCAO DE ARTE LTDA;08.270.832/0001-30;44203;CAFE ROYAL FILMES LTDA;34.258.649/0001-29;COLIGAÇÃO;15/08/2023
50871;GUERRA-PEIXE S PRODUCAO DE ARTE LTDA;08.270.832/0001-30;248;CR ENTRETENIMENTO LTDA;66.657.727/0001-54;COLIGAÇÃO;26/10/2020
50872;DESEJANTE FILMES E PRODUÇÕES LTDA.;43.598.461/0001-10;17469;FEEL FILMES E PRODUCOES LTDA;12.081.251/0001-27;COLIGAÇÃO;06/06/2025
50888;IMAGO STUDIO ILUSTRAÇÃO LTDA;43.794.579/0001-14;48766;GUILHERME ADOLFO DUTRA DA SILVEIRA DUARTE;32.829.854/0001-71;COLIGAÇÃO;24/06/2021
50906;TRIA FILMES LTDA;39.752.417/0001-46;40821;PEDRO PIO DE SOUSA PIMENTEL ***********;17.931.224/0001-10;COLIGAÇÃO;16/05/2024
50909;ARTFILMS PRODUCAO AUDIO VISUAL LTDA;45.474.328/0001-88;28862;FILMART PRODUCAO AUDIO VISUAL EIRELI;21.488.286/0001-76;COLIGAÇÃO;22/09/2025
50914;TUBZ ESTUDIO AUDIOVISUAL LTDA;37.622.823/0001-69;63246;RICCO FILMES LTDA;57.071.246/0001-71;COLIGAÇÃO;19/09/2025
50919;ESTUDIOXIS VIDEO INTERNET E LOCACAO LTDA.;07.090.155/0001-05;323;I3HDTV CINEMA VIDEO E LOCAÇÃO - EPP - ME;01.748.865/0001-01;COLIGAÇÃO;29/04/2024
50932;RMR RADIO E TELEVISÃO LTDA;02.549.290/0001-52;41576;RADIO BEL LTDA;03.718.562/0001-63;COLIGAÇÃO;28/05/2024
50932;RMR RADIO E TELEVISÃO LTDA;02.549.290/0001-52;62716;ESTUDIO MINAS PRODUTORA S.A.;33.156.599/0001-06;COLIGAÇÃO;01/08/2025
50948;CAIXA PRETA FILMES SERVIÇOS E PRODUÇÕES CULTURAIS LTDA;37.335.067/0001-97;42593;LETS BURN FILMES SERVIÇOS E PRODUÇÕES CINEMATOGRÁFICAS LTDA ME;32.814.976/0001-94;COLIGAÇÃO;07/10/2024
50949;STUDIO CONTEUDO LTDA;33.820.665/0001-09;36040;XC FILMES LTDA;12.257.043/0001-36;COLIGAÇÃO;10/07/2024
50972;CANTALOOP COMUNICACAO LTDA;11.031.677/0001-03;42554;CANTACOM COMUNICAÇÃO LTDA;17.877.125/0001-05;COLIGAÇÃO;24/01/2025
50984;CONRADO LANCEROTTI GRANDINO;10.445.550/0001-78;57155;BANDA NX ZERO LTDA;10.597.153/0001-11;COLIGAÇÃO;12/01/2024
50984;CONRADO LANCEROTTI GRANDINO;10.445.550/0001-78;40214;ARTE INTELIGENCIA EM MIDIAS LTDA;28.699.865/0001-07;COLIGAÇÃO;12/01/2024
51017;RISCO FILMES LTDA;44.065.152/0001-48;27420;POLO E NIGRO PRODUÇÕES LTDA;19.742.610/0001-99;COLIGAÇÃO;29/04/2025
51018;ELIAS MACHADO ANGICO;60.303.377/0001-41;1867;SET_5 PRODUTORA LTDA.;03.780.121/0001-91;COLIGAÇÃO;24/01/2025
51022;NEY MACEDO VIDEO E COMUNICAÇÃO;33.874.200/0001-22;4337;MACEDO & PELISSARI S/C LTDA;65.713.331/0001-14;COLIGAÇÃO;10/08/2010
51026;KW1 PRODUCOES CINEMATOGRAFICAS LTDA;34.529.137/0001-50;18326;ROMAN FILMES LTDA;12.961.838/0001-20;COLIGAÇÃO;14/10/2025
51027;SUPER8 PRODUTORA AUDIOVISUAL LTDA;45.373.717/0001-17;27031;FELIPE J LIMA DE SOUZA;19.698.486/0001-01;COLIGAÇÃO;28/03/2025
51053;CRO DIGITAL COMUNICACAO LTDA;37.339.230/0001-90;48664;AG ENTRETENIMENTO E PARTICIPACOES LTDA EPP;27.498.482/0001-08;COLIGAÇÃO;26/07/2021
51067;E.MOTION PRODUÇÕES EIRELI;39.309.063/0001-60;3529;PIOVACARI E CÔRTES LTDA.;06.990.740/0001-07;COLIGAÇÃO;22/04/2020
51068;USINA PRODUCOES LTDA ME;20.174.764/0001-00;15907;USINA DE FILMES PRODUCAO CINEMATOGRAFICA LTDA;10.229.491/0001-09;COLIGAÇÃO;08/07/2024
51076;EEE HI CRIAÇÃO E DIREÇÃO ARTISTICA LTDA;38.278.546/0001-81;4225;HISTÓRIAS INCRIVEIS SOCIEDADE SIMPLES LTDA;04.383.555/0001-10;COLIGAÇÃO;04/03/2013
51076;EEE HI CRIAÇÃO E DIREÇÃO ARTISTICA LTDA;38.278.546/0001-81;18372;HISTÓRIAS INCRÍVEIS FILMES LTDA;12.326.862/0001-98;COLIGAÇÃO;18/04/2024
51077;SUESTE FOTOGRAFIA E CINEMA LTDA;45.693.582/0001-77;49997;TEIJIDO FOTOGRAFIA LTDA. EPP.;65.522.807/0001-30;COLIGAÇÃO;17/11/2021
51080;WEST CINE LTDA;44.246.458/0001-09;14882;WEST SIDE SHOPPING CENTER LTDA;68.761.170/0001-22;COLIGAÇÃO;18/07/2022
51098;RURAL VENDE COMUNICAÇÃO LTDA;31.100.453/0001-13;25805;CONECTA ASSOCIADOS CONSULTORIA DE NEGOCIOS E PROJETOS LTDA;18.713.688/0001-12;COLIGAÇÃO;15/01/2019
51104;SM 2 FOTOGRAFIA E EVENTOS SS LTDA;03.855.472/0001-14;63934;SM2 ESTUDIO LTDA;47.802.888/0001-40;COLIGAÇÃO;17/12/2025
51114;FHA ALVES CONSULTORIA;12.156.644/0001-52;40405;BYOR FILMES PRODUCOES ARTISTICAS E COMUNICACAO LTDA;07.376.928/0001-14;COLIGAÇÃO;29/04/2024
51115;MOLIVE PRODUCOES AUDIOVISUAIS LTDA;39.226.435/0001-94;31442;BRIGADEIRO BENTES PRODUCOES LTDA;22.493.404/0001-05;COLIGAÇÃO;13/09/2024
51121;TIQSI FILMES E PRODUCOES LTDA;42.025.438/0001-74;33094;DESIGN CINEMA & LITERATURA LTDA;07.855.644/0001-00;COLIGAÇÃO;28/11/2023
51145;ART&CIA ANIMATION SCHOOL LTDA;00.855.663/0001-98;36704;VALENTE STUDIO DE PRODUCAO DE VIDEOS E JOGOS LTDA;17.623.726/0001-83;COLIGAÇÃO;09/05/2022
51146;3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA;07.126.215/0001-00;24768;TV SAO JOSE DO RIO PRETO LTDA;50.023.373/0001-56;COLIGAÇÃO;12/06/2024
51146;3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA;07.126.215/0001-00;22883;TV BAURU LTDA;45.033.859/0001-35;COLIGAÇÃO;12/06/2024
51146;3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA;07.126.215/0001-00;23597;NOVO INTERIOR COMUNICACOES LTDA.;01.882.185/0001-78;COLIGAÇÃO;12/06/2024
51146;3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA;07.126.215/0001-00;24386;TV ALIANCA PAULISTA LTDA;58.833.997/0001-40;COLIGAÇÃO;29/04/2024
51146;3 T MEDIA SOLUTIONS ASSESSORIA E COMUNICAÇÕES LTDA;07.126.215/0001-00;457;TRANSCOM SISTEMA DE COMUNICACAO LTDA;04.367.756/0001-24;COLIGAÇÃO;15/05/2017
51148;VERILLA PRESTAÇÃO DE SERVIÇOS LTDA;15.061.931/0001-77;37212;GORILLA PRODUCOES E CONTEUDO EM VIDEO EIRELI;04.456.062/0001-63;COLIGAÇÃO;19/09/2024
51154;J P DE MORAES MONTEIRO PRODUÇÃO CINEMATOGRÁFICA;20.372.696/0001-94;44244;ASMANA FILM PRODUCTION LTDA;34.022.402/0001-09;COLIGAÇÃO;24/01/2025
51162;CINE MAX BRASIL LTDA;46.037.375/0001-27;31894;CINE SANTA CRUZ LTDA - ME;23.865.184/0001-58;COLIGAÇÃO;23/07/2021
51184;IPE PRODUCOES E EVENTOS LTDA;44.985.556/0001-50;51551;FESTINA LENTE BR PRODUÇÕES LTDA;41.077.307/0001-78;COLIGAÇÃO;04/07/2022
51188;INSPIRAÇÃO PRODUÇÕES CULTURAIS LTDA;45.898.143/0001-09;598;LUMEN PRODUCOES LTDA;35.794.023/0001-08;COLIGAÇÃO;04/08/2022
51202;MK PRODUÇÕES ARTISTICAS LTDA;27.466.451/0001-75;32404;MEGA PRODUCOES ARTISTICAS LTDA - ME;10.336.251/0001-03;COLIGAÇÃO;06/05/2021
51205;VANESSA DE MEDEIROS AGUIAR LTDA;45.881.361/0001-22;52736;CARLOS EDUARDO SANTOS DE PAULA ***********;44.972.670/0001-45;COLIGAÇÃO;31/01/2023
51211;MONOCINE FILMES LTDA;45.423.853/0001-74;39833;MACHINE FILMES LTDA;30.370.614/0001-26;COLIGAÇÃO;22/01/2024
51211;MONOCINE FILMES LTDA;45.423.853/0001-74;20792;MOUSE HOUSE PRODUCOES LTDA - ME;14.932.468/0001-29;COLIGAÇÃO;14/07/2022
51212;TALISMA ARTE E CULTURA;46.187.775/0001-19;19917;SAPHIRA SERVIÇOS DE PLANEJAMENTO E COMUNICAÇÃO LTDA-ME;08.802.622/0001-45;COLIGAÇÃO;14/11/2023
51216;FABIANO COLATTO FRAGA PRODUCOES;46.225.935/0001-77;20533;CONVERGENCIA VIDEO ONLINE LTDA;11.565.606/0001-90;COLIGAÇÃO;24/02/2017
51225;TUMPATS AUDIO LTDA;20.765.237/0001-70;31430;AMBIENTAL OFFICE SERVIÇOS LTDA;12.923.799/0001-77;COLIGAÇÃO;08/12/2020
51253;BENEDETTO AGENCIA DIGITAL LTDA;32.299.951/0001-08;61645;SANTER PRODUÇÕES AUDIOVISUAIS LTDA;59.666.220/0001-00;COLIGAÇÃO;11/04/2025
51253;BENEDETTO AGENCIA DIGITAL LTDA;32.299.951/0001-08;32319;MADRE MIA FILMES LTDA ME;23.980.273/0001-45;COLIGAÇÃO;17/05/2021
51253;BENEDETTO AGENCIA DIGITAL LTDA;32.299.951/0001-08;30044;VAPT FILMES PRODUÇÕES EIRELI ME;22.380.095/0001-59;COLIGAÇÃO;25/05/2021
51253;BENEDETTO AGENCIA DIGITAL LTDA;32.299.951/0001-08;36395;EDGARD SOARES FILMES LTDA;27.171.970/0001-06;COLIGAÇÃO;25/10/2022
51257;TALENT4MUSIC EDITORA E PRODUTORA ARTISTICA LTDA;45.009.284/0001-15;38974;360 PRODUCAO ARTISTICA E AUDIO VISUAL LTDA-ME;39.116.298/0001-35;COLIGAÇÃO;02/04/2024
51265;EL DORADO STUDIOS LTDA;37.752.575/0001-70;46860;E. EITI N. SATO VIDEOS DE ANIMACAO;28.626.439/0001-43;COLIGAÇÃO;05/10/2020
51273;RGB PRODUCAO, COMUNICACAO, LOCACAO DE EQUIPAMENTOS E MARKETING LTDA;46.008.529/0001-52;53904;RGB PRODUCAO, COMUNICACAO, LOCACAO DE EQUIPAMENTOS E MARKETING LTDA;48.859.323/0001-61;COLIGAÇÃO;28/06/2023
51279;14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA;20.489.684/0001-44;13622;BMCOM ASSESSORIA E CONSULTORIA EM COMUNICAÇAO LTDA;08.744.525/0001-43;COLIGAÇÃO;08/03/2021
51279;14 AGENCIA DE CONTEUDO ESTRATEGICO LTDA;20.489.684/0001-44;47899;FEEL THE MATCH INC LTDA;40.820.093/0001-15;COLIGAÇÃO;03/09/2025
51281;JANELA FILMES LTDA;04.769.306/0001-68;21968;GAROA FILMES CINEMATOGRAFICOS LTDA - ME;14.998.008/0001-01;COLIGAÇÃO;11/06/2024
51299;INSTITUTO SOCIAL DE ASSUNTOS CULTURAIS, TECNOLOGICOS E COMUNITARIOS;46.357.429/0001-31;35433;JEA ENSINO, COMÉRCIO E SERVIÇOS LTDA;18.003.309/0001-09;COLIGAÇÃO;16/07/2024
51312;CTJ3 PRODUÇÕES LTDA ME;45.963.557/0001-66;36706;GOMO FILMES LTDA. ME;20.428.763/0001-45;COLIGAÇÃO;27/02/2023
51341;MOVIEPLEX ENTRETENIMENTO LTDA;46.258.614/0001-79;36106;MOVIEPLEX ENTRETENIMENTO LTDA -ME;26.756.579/0001-00;COLIGAÇÃO;11/11/2024
51341;MOVIEPLEX ENTRETENIMENTO LTDA;46.258.614/0001-79;58497;MOVIEPLEX TIMON LTDA;55.410.924/0001-58;COLIGAÇÃO;19/06/2024
51357;SARAVA FILMES LTDA;35.445.795/0001-26;456;GOA PICTURES LTDA;01.613.614/0001-01;COLIGAÇÃO;04/03/2013
51357;SARAVA FILMES LTDA;35.445.795/0001-26;23754;TIA MARIA FILMES LTDA - ME;09.374.330/0001-11;COLIGAÇÃO;01/11/2024
51359;YORÙBÁ ARTS TV LTDA;45.984.673/0001-61;27330;INAÊ PRODUÇÕES CINEMATOGRÁFICAS LTDA;11.055.900/0001-52;COLIGAÇÃO;03/06/2022
51359;YORÙBÁ ARTS TV LTDA;45.984.673/0001-61;53579;BELA OXUM PRODUÇÕES LTDA;47.978.144/0001-80;COLIGAÇÃO;06/06/2023
51361;AM DE MORAIS PRODUCOES E EVENTOS;13.489.036/0001-22;49883;MAGNIFICAT ENTRETENIMENTO LTDA;41.680.800/0001-88;COLIGAÇÃO;29/10/2021
51361;AM DE MORAIS PRODUCOES E EVENTOS;13.489.036/0001-22;62505;KOLBE FILMES LTDA;60.922.058/0001-14;COLIGAÇÃO;08/07/2025
51363;ONION REC FILMS ESTUDIO E PRODUCOES DE FILMES LTDA;37.531.511/0001-40;32550;CEBOLA FILMS LTDA ME;19.259.129/0001-47;COLIGAÇÃO;06/05/2021
51390;CLUBE FILMES LTDA;46.401.439/0001-27;6126;CLUBTV PRODUÇÕES E ENTRETENIMENTO LTDA;07.276.440/0001-15;COLIGAÇÃO;19/03/2025
51390;CLUBE FILMES LTDA;46.401.439/0001-27;29849;CINEMINHA PRODUCOES LTDA;13.840.055/0001-51;COLIGAÇÃO;16/05/2025
51392;AGENCIA PIU COMUNICA LTDA;06.278.806/0001-22;17306;REPORTER BRASIL - ORGANIZAÇÃO DE COMUNICAÇÃO E PROJETOS SOCIAIS;05.930.053/0001-25;COLIGAÇÃO;21/02/2025
51394;FRONT PRODUCOES E CONTEUDO LTDA;46.265.076/0001-40;61118;ARENA PRODUCAO CINEMATOGRAFICA LTDA;58.896.383/0001-08;COLIGAÇÃO;26/02/2025
51394;FRONT PRODUCOES E CONTEUDO LTDA;46.265.076/0001-40;44050;PULLSE COMUNICACAO LTDA;30.479.615/0001-03;COLIGAÇÃO;24/01/2025
51394;FRONT PRODUCOES E CONTEUDO LTDA;46.265.076/0001-40;51932;FRONT PRODUCAO CINEMATOGRAFICA LTDA;47.509.589/0001-11;COLIGAÇÃO;25/08/2022
51394;FRONT PRODUCOES E CONTEUDO LTDA;46.265.076/0001-40;47354;ACELERAI PRODUCAO CINEMATOGRAFICA LTDA;39.753.369/0001-00;COLIGAÇÃO;07/12/2020
51395;RAMPA PRODUCOES ARTISTICAS LTDA;41.020.310/0001-55;42185;HEAD MEDIA PRODUCAO, EDICAO E DISTRIBUICAO MUSICAL LTDA. ME;24.623.386/0001-56;COLIGAÇÃO;12/11/2024
51397;LM PRODUÇÕES CULTURAIS LTDA;24.069.006/0001-83;412;RF CINEMA E TV LTDA;73.668.295/0001-42;COLIGAÇÃO;22/02/2024
51424;GOLPE DE VISTA FILMES EIRELI;34.107.329/0001-78;11793;IMAGINA PRESTACAO DE SERVICOS S/C LTDA;05.032.937/0001-62;COLIGAÇÃO;29/12/2023
51424;GOLPE DE VISTA FILMES EIRELI;34.107.329/0001-78;34087;HANGAR FILMES LTDA - ME;22.357.342/0001-04;COLIGAÇÃO;11/01/2024
51425;FLF COMUNICACAO EIRELI;31.276.034/0001-37;40193;FACHEL, PIERI COM LTDA;03.728.298/0001-49;COLIGAÇÃO;16/05/2024
