TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
Sunday Sport;Documentário;03/09/2018 a 20/09/2019;TOWN NETWORK FILMAGENS LTDA.;SP;NHK - Nippon Hoso Kyokai;Japão;1;
The Circle Brazil;Outro;07/10/2019 a 13/10/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Studio Lambert Associates Limited;Reino Unido;1;
A Amazônia e o Homem;Documentário;03/09/2019 a 10/09/2019;Amazon Film Productions;AM;CDI Virtual Films INC;Estados Unidos;3;
Redes Sociais dos Animais;Documentário;05/10/2019 a 10/10/2019;Cristian Dimitrius Produções Ltda;SP;Rotating Planet;Canadá;0;
The Perfect Planet Parte II;Documentário;28/09/2019 a 15/10/2019;Cristian Dimitrius Produções Ltda;SP;Perfect Planet Productions Limited;Reino Unido;3;
Amazon Armageddon (Armagedom da Amazonia);Documentário;16/09/2019 a 02/10/2019;TR Somogyi Produções;RJ;Wild Blue Media;Reino Unido;4;
Os Fantasmas Que Eu Chamei;Documentário;17/09/2019 a 23/09/2019;Miranda Hempfing Produções Culturais Ltda;SP;TV Plus GmbH;Alemanha;2;
THE BOWMAKER'S WOOD;Documentário;19/10/2019 a 29/10/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media, LLC;Estados Unidos;1;
Filme corporativo para American Airlines Cargo;Obra Publicitária;23/09/2019 a 26/09/2019;STORY PRODUÇÕES LTDA - ME;SP;RECREATION DALLAS;Estados Unidos;4;
KAIGYO HUNTER: EM BUSCA DOS PEIXES GIGANTES;Documentário;20/09/2019 a 15/10/2019;TOWN NETWORK FILMAGENS LTDA.;SP;DENEN KOBO D'z Inc;Japão;5;
MADE IN JAPAN - PARTE 3;Documentário;19/09/2019 a 29/09/2019;Xes Projetos Visuais Ltda;SP;Yellow Co. Ltd.;Japão;2;
Waze;Institucional;14/09/2019 a 20/09/2019;Viva Filmes Ltda;RJ;Bohemian Blue Productions;Estados Unidos;2;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;3;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;2;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;42;
Race Ac;Documentário;23/10/2019 a 01/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Studio Lambert Associates Limited;Reino Unido;1;
CONNECTED;Documentário;26/09/2019 a 01/10/2019;STORY PRODUÇÕES LTDA - ME;SP;ZERO POINT ZERO, INC;Estados Unidos;5;
LA DOÑA;Ficção;27/09/2019 a 28/09/2019;CWA Luminaris Assessoria Empresarial Ltda;SP;Argos Soluciones Creativas, S.A de C.V;México;4;
Pelé - 4a fase;Documentário;27/09/2019 a 30/09/2019;Saraguina Filmes e Produções Eireli;RJ;Pitch International LLP;Reino Unido;3;
Pelé - 4a fase;Documentário;27/09/2019 a 30/09/2019;Saraguina Filmes e Produções Eireli;RJ;Pitch International LLP;Reino Unido;1;
Pelé - 4a fase;Documentário;27/09/2019 a 30/09/2019;Saraguina Filmes e Produções Eireli;RJ;Pitch International LLP;Reino Unido;2;
Race Ac;Documentário;23/10/2019 a 01/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Studio Lambert Associates Limited;Reino Unido;1;
Race Ac;Documentário;23/10/2019 a 01/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Studio Lambert Associates Limited;Reino Unido;37;
UNCOVERED;Documentário;28/09/2019 a 04/10/2019;CAMELÔ PRODUÇÕES;RJ;pqpp2;Alemanha;4;
Money Movement Scott Pape;Outro;02/09/2019 a 08/09/2019;Viva Filmes Ltda;RJ;Essential media;Austrália;2;
O Último Animal;Ficção;09/10/2019 a 04/11/2019;Multiphocus Arte & Comunicação Ltda;RJ;Stopline;Portugal;1;
Onde Strange Rock 2;Documentário;08/11/2019 a 15/11/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;Nutopia Ltd;Reino Unido;1;
The World Heritage;Documentário;26/10/2019 a 22/11/2019;WASABI JB COMUNICAÇÃO;RJ;TBS SPARKLE, INC.;Japão;3;
Street Food;Documentário;12/10/2019 a 24/10/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Figura Media, LLC;Estados Unidos;7;
ENERGY SERIES;Obra Publicitária;24/10/2019 a  04/11/2019;STORY PRODUÇÕES LTDA - ME;SP;DINAMO SRL;Itália;5;
THE EDGE;Institucional;15/10/2019 a 20/10/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;2;
The Matching Game;Documentário;20/10/2019 a 17/11/2019;Tacacá Filmes Ltda;RJ;Wild Chase Productions;Reino Unido;2;
The Matching Game;Documentário;20/10/2019 a 17/11/2019;Tacacá Filmes Ltda;RJ;Wild Chase Productions;Reino Unido;2;
The Matching Game;Documentário;20/10/2019 a 17/11/2019;Tacacá Filmes Ltda;RJ;Wild Chase Productions;Reino Unido;1;
Amazon Armageddon (Armagedom da Amazonia);Documentário;20/10/2019 a 30/10/2019;TR Somogyi Produções;RJ;Wild Blue Media;Reino Unido;2;
Expedition Unknow: X Files;Documentário;20/10/2019 a 27/10/2019;Davies & Luzzi Ltda - ME;SP;Circle The Globe Productions;Estados Unidos;10;
Onde Strange Rock 2;Documentário;17/11/2019 a 23/11/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;Nutopia ltd;Reino Unido;5;
Race Ac;Documentário;23/10/2019 a 01/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Studio Lambert Associates Limited;Reino Unido;3;
Race Ac;Documentário;23/10/2019 a 01/11/2019;R B ARAUJO PRODUÇÃO CINEMATOGRAFICA - ME;RJ;Studio Lambert Associates Limited;Reino Unido;1;
Fifa20 - Copa Libertadores;Documentário;25/10/2019 a 31/10/2019;JKR Produções Artísticas Ltda;RJ;Dadbod Films;Reino Unido;2;
Artisans of Bottletop;Institucional;26/10/2019 a 30/10/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;2;
CAMPANHA ANUAL GM;Obra Publicitária;14/11/2019 a 29/11/2019;MOVI&ARTPRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Red Creek Productions LLC;Estados Unidos;1;
Campanha BASF;Obra Publicitária;29/10/2019 e 30/10/2019;STORY PRODUÇÕES LTDA - ME;SP;The Chase Films Limited;Reino Unido;1;
Ikponwosa Ero Documentary;Documentário;28/10/2019 a 02/11/2019;Davies & Luzzi Ltda - ME;SP;Inroad Films Ltd;Reino Unido;2;
Somebody Feed Phil;Outro;27/10/2019 a 03/11/2019;Filmes To Go Produções Ltda.;RJ;Zero Point Zero;Estados Unidos;7;
AVON PROMOTIONAL VIDEO;Outro;07/12/2019 a 12/12/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;1;
G-suite;Obra Publicitária;17/11/2019 a 24/11/2019;JKR Produções Artísticas Ltda;RJ;Hecho Studios;Estados Unidos;3;
HILLSONG;Outro;04/11/2019 a 11/11/2019;Amazon Film Productions;AM;Leroy &Morton Productions LLC;Estados Unidos;11;
KIDS MEET THE WORLD - CRIANÇAS CONHECEM O MUNDO;Documentário;09/11/2019 a 18/11/2019;Xes Projetos Visuais Ltda;SP;EAST ENTERTAINMENT INC;Japão;2;
LUA12/BUA13 EPISODE 10;Ficção;05/11/2019 a 25/11/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;Raw;Reino Unido;3;
Naruhodo! The World;Outro;13/11/2019 a 22/11/2019;WASABI JB COMUNICAÇÃO;RJ;EAST FACTORY INC.;Japão;10;
Planeta Verde - Parte 2;Documentário;31/10/2019 a 22/11/2019;Cristian Dimitrius Produções Ltda;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;3;
Pontes;Obra Publicitária;01/12/2019 a 10/12/2019;Domo Produções Ltda;SP;BBC Natural History and factual Productions;Reino Unido;11;
Take Out Xuxa Interview;Documentário;10/11/2019 a 13/11/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;1;
WINDOWS OF THE WORLD;Outro;15/11/2019 a 30/11/2019;SANGO PRODUCTION LTDA;SP;TBS SPARKLE,INC;Japão;3;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;Square Zero Films;Estados Unidos;2;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;42;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;2;
female entrepreneurs around the world;Documentário;04/11/2019 a 17/11/2019;Viva Filmes Ltda;RJ;Icon Films;Reino Unido;3;
In Deep with Jeremy Wade;Documentário;01/11/2019 a 18/12/2019;Neon Rio Ltda;RJ;LEOPARD USA, LTD;Estados Unidos;1;
In Deep with Jeremy Wade;Documentário;01/11/2019 a 18/12/2019;Neon Rio Ltda;RJ;Icon Films;Reino Unido;9;
In Deep with Jeremy Wade;Documentário;01/11/2019 a 18/12/2019;Neon Rio Ltda;RJ;Icon Films;Reino Unido;1;
House Hunters International;Outro;24/11/2019 a 28/11/2019;STORY PRODUÇÕES LTDA - ME;SP;Elephant Adventure SAS;França;4;
Serie sobre Belém-São Luis-Manaus;Documentário;20/11/2019 a 10/12/2019;La Vista;SP;First Loop Productions Ltd;Reino Unido;2;
Vida em nosso Planeta;Outro;15/11/2019 a 22/12/2019;Cristian Dimitrius Produções Ltda;SP;HOLD OUT Inc.;Japão;3;
HEALTH FOOD;Documentário;04/11/2019 a 13/11/2019;GUIRRAV AUDIOVISUAL & LIGHTING LTDA - ME;SP;Figura Media, LLC;Estados Unidos;1;
Brighton Doc;Documentário;10/11/2019 a 17/11/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;Top Scene Inc;Japão;4;
Amazon Armageddon (Armagedom da Amazonia);Documentário;20/11/2019 a 28/11/2019;TR Somogyi Produções;RJ;Box to Box Films;Reino Unido;2;
POR ONDE ELE ANDA - PARTE 2;Documentário;10/11/2019 a 19/11/2019;Xes Projetos Visuais Ltda;SP;Wild Blue Media;Reino Unido;2;
Are U Gonna Tell Her? - Tove Lo ft. Mc Zaac;Outro;20/11/2019 a 22/11/2019;INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA;SP;Filmblanc Inc;Canadá;1;
Are U Gonna Tell Her? - Tove Lo ft. Mc Zaac;Outro;20/11/2019 a 22/11/2019;INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA;SP;Queen of the Clouds AB;Suécia;1;
Are U Gonna Tell Her? - Tove Lo ft. Mc Zaac;Outro;20/11/2019 a 22/11/2019;INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA;SP;Queen of the Clouds AB;Suécia;1;
Connecting the Dot;Documentário;23/11/2019 a 27/11/2019;Sol Entertainment Ltda;RJ;De Mensen nv;Bélgica;4;
Days of Love;Documentário;20/01/2020 a 03/02/2020;N S Jayanetti Produções e Eventos;RJ;Chebli Christelle;Líbano;4;
Drive to Survive 2;Documentário;12/11/2019 a 18/11/2019;Viva Filmes Ltda;RJ;Queen of the Clouds AB;Suécia;12;
Are U Gonna Tell Her? - Tove Lo ft. Mc Zaac;Outro;20/11/2019 a 22/11/2019;INCRÍVEL FILMES PRODUÇÃO DE FILMES LTDA;SP;Taking Over;Estados Unidos;1;
Desenvolvido pela Natureza - Nurture of Nature;Documentário;15/11/2019 a 19/11/2019;Pigmento Filmes e Produções LTDA-ME;SP;Taking Over;Estados Unidos;1;
Desenvolvido pela Natureza - Nurture of Nature;Documentário;15/11/2019 a 19/11/2019;Pigmento Filmes e Produções LTDA-ME;SP;Taking Over;Estados Unidos;1;
Desenvolvido pela Natureza - Nurture of Nature;Documentário;15/11/2019 a 19/11/2019;Pigmento Filmes e Produções LTDA-ME;SP;Taking Over;Estados Unidos;1;
Confined Talent: The Case of Felipe Amparo;Documentário;15/11/2019 a 11/12/2019;N S Jayanetti Produções e Eventos;RJ;Queen of the Clouds AB;Suécia;1;
CAMPANHA INTERNA SEM TÍTULO;Obra Publicitária;20/11/2019 a 22/11/2019;STORY PRODUÇÕES LTDA - ME;SP;DELL TECHNOLOGIES;Estados Unidos;2;
Desenvolvido pela Natureza - Nurture of Nature;Documentário;15/11/2019 a 19/11/2019;Pigmento Filmes e Produções LTDA-ME;SP;BBC STUDIOS;Reino Unido;1;
TAMANDUÁ BANDEIRA;Documentário;20/11/2019 a 30/11/2019;Neon Rio Ltda;RJ;tellvision Film &Fernsehproduktion;Alemanha;2;
tellvision Film &Fernsehproduktion;Documentário;08/12/2019 a 18/12/2019;Aura Filme Produções Ltda;RJ;DELL TECHNOLOGIES;Estados Unidos;3;
CAMPANHA INTERNA SEM TÍTULO;Obra Publicitária;20/11/2019 a 22/11/2019;STORY PRODUÇÕES LTDA - ME;SP;Wag Intertainment;Reino Unido;2;
Facebook Groups Brazil;Outro;05/12/2019 a 12/12/2019;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;Mini Title LTD;Reino Unido;2;
Facebook Groups Brazil;Outro;05/12/2019 a 12/12/2019;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;Mini Title LTD;Reino Unido;3;
What on Earth;Documentário;07/12/2019 a 12/12/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;Sherpas Cinema;Canadá;2;
SPARROW;Documentário;25/11/2019 a 04/12/2019;QUARTETO EVENTOS E PRODUÇÕES EIRELI - ME;RJ;FULLWELL 73 UK LTD;Reino Unido;3;
Sport Classic TV;Documentário;06/02/2020 a 07/02/2020;Amazon FIlm Productions;AM;CDI Virtual Films INC;Estados Unidos;6;
Verrueckt nach Meer;Documentário;06/12/2019 a 16/12/2019;Sol Entertainment Ltda;RJ;Fandango Film;Alemanha;13;
WILDLIFE;Documentário;10/12/2019 a 10/02/2020;Town Network Filmagens Ltda.;SP;Antas Productions Ltd.;Japão;3;
Planeta Verde - Parte 3;Outro;14/01/2019 a 04/02/2020;Cristian Dimitrius Produções Ltda;SP;BBC Natural History;Reino Unido;4;
IBM INSTITUCIONAL;Institucional;13/12/2019 a 17/12/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;3;
BRAZILIAN ORANGE JUICE;Documentário;16/12/2019 a 20/12/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;SPOTMAKERS, LLC;Rússia;8;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;33;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;2;
EX on the Beach;Outro;30/09/2019 a 12/02/2020;ENDEMOL SHINE BRASIL PRODUÇÕES LTDA;SP;METER TELEVISON METRONOME PRODUCTIONRUBICON TV;Suécia/Dinamarca/Noruega;1;
CAMISA 10;Documentário;18/12/2019 a 28/12/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;1;
CAMISA 10;Documentário;18/12/2019 a 28/12/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;1;
Brazil 1970 - When the World Stopped;Documentário;06/01/2020 a 17/01/2020;Saraguina Filmes e Produções Eireli;RJ;Noah Media Group;Reino Unido;4;
Culinary Heights of Ikarus;Documentário;24/01/2020 a 28/01/2020;STORY PRODUÇÕES LTDA - ME;SP;Die Mediengesellschaft Filmproduktionsgmbh;Áustria;6;
Natura - Brazil;Institucional;18/12/2019 a 21/12/2019;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;MerchantCantos;Reino Unido;1;
MEUH !;Documentário;14/01/2020 a 25/01/2020;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;Grand Angle Productions;França;3;
VINCI CONCESSIONS;Institucional;05/01/2020 a 08/01/2020;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;TULIPES &CIE;França;3;
Girls meets world;Documentário;10/02/2020 a 20/02/2020;Filmes to Go Produções Ltda ME;RJ;Sugar Rush Productions;Líbano;10;
"""What Moves Me""";Documentário;26/01/2020 a 27/01/2020;STORY PRODUÇÕES LTDA EPP;SP;JUST SO FILMS;Reino Unido;4;
Girls meets world;Documentário;10/02/2020 a 20/02/2020;Filmes to Go Produções Ltda ME;RJ;Sugar Rush Productions;Líbano;5;
TANK TESTED;Documentário;18/01/2020 a 31/01/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA, LLC;Estados Unidos;1;
A Vida Secreta da Natureza;Documentário;01/03/2020 a 16/03/2020;Tacaca Filmes Ldta;RJ;Plimsoll Productions Ltda;Reino Unido;1;
Generations (Gerações);Documentário;19/01/2020 a 03/02/2020;TR Somogyi Produções;RJ;Noon Films S.L.;Espanha;2;
Primeblue;Obra Publicitária;13/01/2020 a 25/01/2020;Domo Produções;RJ;Miniac Films;Estados Unidos;7;
We are the World;Outro;27/01/2020 a 09/02/2020;N S Jayanetti Produções e Eventos;RJ;Woestijnvis NV;Bélgica;4;
Huawei Hector;Outro;13/01/2020 a 21/01/2020;Utopia Filmes Producao Artistica LTDA;RJ;Gwantsi;China;1;
Filme Corporativo Yara International no Brasil2020;Outro;04/02/2020 a 12/02/2020;Santo Forte Filmes;RJ;Copenhagen Film Company;Dinamarca;4;
AMAZON ECOCIDE;Documentário;12/01/2020 a 14/02/2020;STORY PRODUCOES LTDA EPP;SP;IRUN 4ULTRA LLC;Estados Unidos;2;
MONOBLOC;Documentário;26/01/2020 a 01/02/2020;Midia FIna produções Cinematográficas - EIRELI;SP;PIER 53 Filmproduktion GbR;Alemanha;3;
Dogs;Documentário;18/01/2020 a 22/01/2020;Desvia produções artísticas e audiovisuais LTDA;PE;Anthony &Leonard Productions LLC;Estados Unidos;1;
Better Late then Never;Documentário;20/02/2020 a 26/02/2020;Viva Filmes Produções Ltda;RJ;FREMATLE MEDIA NETHERLANDS B.V;Holanda;15;
O CÉU EM QUEDA;Documentário;19/02/2020 a 06/03/2020;SERGIO J DE ANDRADE / RIO TARUMÃ FILMES;AM;Clin d?oeil films;Bélgica;2;
O CÉU EM QUEDA;Documentário;19/02/2020 a 06/03/2020;SERGIO J DE ANDRADE / RIO TARUMÃ FILMES;AM;Clin d?oeil films;Bélgica;1;
Our Common Home;Documentário;03/02/2020 a 29/02/2020;Cristian Dimitrius Produções Ltda;SP;Off The Fence;Holanda;5;
Breaking the Boundaries (Quebrando os Limites);Documentário;25/02/2020 a 14/03/2020;TR Somogyi Produções;RJ;Silverback Films Ltd;Reino Unido;4;
Herdeiros de Saramago;Documentário;21/01/2020 a 15/32/2020;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;RJ;MIDAS FILMES;Portugal;5;
Child Health;Documentário;08/03/2020 a 23/03/2020;Terra Vermelha Filmes Ltda;RJ;Vantullekenbrothers TV;Reino Unido;4;
PURPLE HAZE;Documentário;16/02/2020 a 23/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;2;
Cummins Global Service and Support;Institucional;09/03/2020 a 15/03/2020;Viva Filmes Ltda;RJ;Heart and Soul TV &Film Ltd;Reino Unido;3;
documentary series, CV in RJ, and the PCC in SP;Documentário;02/02/2020 a 29/03/2020;Viva Filmes Produções Ltda.;RJ;Wall to Wall Media Limited;Reino Unido;1;
Voyage à Recife;Documentário;31/01/2020 a 18/02/2020;La Vista;SP;Elephant Adventure SAS;França;1;
BEE WORLD;Outro;10/02/2020 a 15/03/2020;TOWN NETWORK FILMAGENS LTDA.;SP;NEXUS INC.;Japão;3;
In Deep with Jeremy Wade;Documentário;19/03/2020 a 18/04/2020;Dez e Vinte Produções Cinematográficas;SP;Icon Films;Reino Unido;1;
In Deep with Jeremy Wade;Documentário;19/03/2020 a 18/04/2020;Dez e Vinte Produções Cinematográficas;SP;Icon Films;Reino Unido;1;
In Deep with Jeremy Wade;Documentário;19/03/2020 a 18/04/2020;Dez e Vinte Produções Cinematográficas;SP;Icon Films;Reino Unido;6;
UFC DESTINED;Documentário;29/01/2020 a 31/01/2020;STORY PRODUÇÕES LTDA;SP;IMG PRODUCTIONS, LLC;Estados Unidos;3;
ELESTAL;Institucional;31/01/2020 a 09/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;2;
Verrueckt nach Meer 10;Documentário;29/02/2020 a 24/03/2020;Sol Entertainment Ltda;RJ;Bewegte Zeiten Filmproduktion GmbH;Alemanha;25;
""" BEAUTY PRISON "" &"" BIKER PRISON """;Documentário;02/02/2020 a 30/03/2020;CINEMAR - W.FAISSAL PRODUÇÕES ARTÍSTICAS E COMUNIC;RJ;ITV STUDIOS NETHERLANDS BV;Holanda;5;
Relato de um Certo Oriente;Ficção;10/02/2020 a 20/04/2020;Matizar Produções Artísticas Ltda;RJ;-;-;1;
Relato de um Certo Oriente;Ficção;10/02/2020 a 20/04/2020;Matizar Produções Artísticas Ltda;RJ;-;-;1;
Brady and Gary go to;Documentário;08/02/2020 a 16/02/2020;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;Entertainment ONE;Estados Unidos;17;
Bank Corporate Video;Institucional;15/02/2020 a 20/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;3;
ONE STRANGE ROCK 2;Outro;05/03/2020 a 11/03/2020;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;1;
Better Late then Never;Documentário;20/02/2020 a 26/02/2020;Viva Filmes Produções Ltda;RJ;FREMATLE MEDIA NETHERLANDS B.V;Holanda;1;
ONE STRANGE ROCK 2;Outro;05/03/2020 a 11/03/2020;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;1;
Rio de Janeiro Corporate Shoot;Institucional;22/02/2020 a 25/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;1;
Rio de Janeiro Corporate Shoot;Institucional;22/02/2020 a 25/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;1;
Decathlon Brasil Shoot;Institucional;17/03/2020 a 21/03/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;2;
Better Late then Never;Documentário;20/02/2020 a 26/02/2020;Viva Filmes Produções Ltda;RJ;FREMATLE MEDIA NETHERLANDS B.V;Holanda;1;
Bank Corporate Video;Institucional;15/02/2020 a 20/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;1;
Pedro « Scooby » Vianna;Outro;28/02/2020 a 05/03/2020;AURA FI LME PRODUÇÕES LTDA;RJ;Alex Laurel;França;2;
Takuma;Institucional;22/02/2020 a 27/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;3;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
All eyes on me;Obra Publicitária;16/03/2020 a 21/03/2020;Stink SP Produção de Filmes Ltda;SP;Stink Berlin;Alemanha;1;
Indiana University Documentary;Documentário;07/02/2020 a 17/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;1;
Indiana University Documentary;Documentário;07/02/2020 a 17/02/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;1;
Todd Sampson?s Body Hack;Documentário;10/03/2020 a 21/03/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;4;
Todd Sampson?s Body Hack;Documentário;10/03/2020 a 21/03/2020;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;FIGURA MEDIA LLC;Estados Unidos;1;
ONE STRANGE ROCK 2;Outro;05/03/2020 a 11/03/2020;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;5;
ONE STRANGE ROCK 2;Outro;05/03/2020 a 11/03/2020;Terra Vermelha Filmes ltda;RJ;NUTOPIA LTD;Reino Unido;1;
Quer Jogar Comigo;Obra Publicitária;06/03/2020 a 12/03/2020;Xes Projetos Visuais Ltda;SP;Eight Pictures Inc;Japão;5;
RETORNO À AMAZÔNIA;Documentário;06/04/2020 a 17/06/2020;PEDRO SUTTER OZORIO ROSA ME;RJ;FRANK FILMS;Reino Unido;5;
Simon Reeve South America;Documentário;26/02/2020 a 12/03/2020;Viva Filmes Ltda;RJ;The Garden;Reino Unido;4;
the epic hunt;Obra Publicitária;28/02/2020 a 06/03/2020;Ocean Produção de Filmes Ltda.;SC;Rogue;Reino Unido;7;
The Travel Show;Documentário;21/01/2020 a 23/01/2020;Midia Fina producões cinematográficas - EIRELI;SP;British Broadcasting Coorporation - BBC;Reino Unido;1;
The Travel Show;Documentário;21/01/2020 a 23/01/2020;Midia Fina producões cinematográficas - EIRELI;SP;British Broadcasting Coorporation - BBC;Reino Unido;2;
Unilever;Documentário;18/01/2020 a 23/01/2020;Viva Filmes Ltda;RJ;Plastic Pictures;Reino Unido;2;
Quer Jogar Comigo;Obra Publicitária;06/03/2020 a 12/03/2020;Xes Projetos Visuais Ltda;SP;Eight Pictures Inc;Japão;3;
