Valores Captados por Projeto Incentivado - Em Reais (R$) - 2002 a Julho de 2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ano de Captação;Salic;Nome do Projeto;CNPJ do Proponente;Proponente;UF;Tipo ou segmento;Gênero;"Lei 8.313/91
(Lei Rouanet)";"Art. 1º 
Lei 8.685/93";"Art. 1º A
Lei 8.685/93";"Art. 3º 
Lei 8.685/93*";"Art. 3º A
Lei 8.685/93*";"Art. 39 
MP 2228-1/01*";Funcines;Total Captado no Ano
2002;984987;Jogo Subterrâneo - Underground Games;54.306.055/0001-53;VAGALUME PRODUÇÕES CINEMATOGRÁFICAS LTDA.-ME;SP;Produção Cinematográfica;Ficção;0;300.000,00;0;0;0;0;0;300.000,00
2002;221;Jorge Amado o Menino Grapiúna;33.714.593/0001-07;VERONA FILMES LTDA;RJ;Produção Cinematográfica;Documentário;0;56.300,00;0;0;0;0;0;56.300,00
2002;13641;Latitude Zero Lançamento;01.605.800/0001-07;OLHAR IMAGINÁRIO LTDA;SP;Distribuição Cinematográfica; -;110.000,00;0;0;0;0;0;0;110.000,00
2002;12084;Lendas Contos e Outras Histórias Catarinenses;00.030.315/9800-87;Carlos Wagner Messerlian La Bella;SC;Produção Televisiva;Ficção;120.000,00;0;0;0;0;0;0;120.000,00
2002;14550;Lisbela e o Prisioneiro;04.595.226/0001-33;UNS E OUTROS PRODUÇÕES E FILMES EIRELI;RJ;Produção Cinematográfica;Ficção;800.000,00;450.000,00;0;1.899.931,51;0;0;0;3.149.931,51
2002;961260;Lost Zweig (Zweig Perdido);76.421.049/0001-80;USINA DE KYNO LTDA;PR;Produção Cinematográfica;Ficção;200.000,00;45.000,00;0;0;0;0;0;245.000,00
2002;962407;LÍNGUA;31.337.942/0001-93;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;RJ;Produção Cinematográfica;Documentário;0;17.000,00;0;0;0;0;0;17.000,00
2002;11853;Madame Satã;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;RJ;Produção Cinematográfica;Ficção;0;500.000,00;0;0;0;0;0;500.000,00
2002;202;Madeireiros (Ex - Madeireiras);01.803.185/0001-35;ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.;RJ;Produção Cinematográfica;Documentário;0;300.200,00;0;0;0;0;0;300.200,00
2002;24098;Mastercard Destino Brasil 2002;02.208.389/0001-90;KN CONTEÚDO PRODUÇÕES LTDA.;RJ;Produção Televisiva;Documentário;547.200,00;0;0;0;0;0;0;547.200,00
2002;24070;Mestre Bimba Corpo de Mandinga;35.794.023/0001-08;LUMEN PRODUCOES ­ EIRELI ­ EPP;RJ;Produção Cinematográfica;Documentário;0;80.000,00;0;0;0;0;0;80.000,00
